Breakpoint = noise level at which recall first drops below 80.0%,,,,,,
Class ID,Mechanism,Breakpoint (<80.0%),Recall @ 0%,Recall @ 10%,Recall @ 25%,Recall @ 50%
17,A + B -> C -> D ; 2A -> D,2.5%,82.29,55.91,24.26,6.11
4,A + B -> C,4.5%,84.13,70.05,61.56,41.95
5,A + B -> D,5.0%,89.18,74.58,36.93,12.37
18,2A -> C -> D ; A + B -> D,5.5%,88.91,69.08,29.18,4.68
14,A + B -> C ; 2A -> D,7.5%,94.92,72.99,45.9,25.92
25,A + B <-> D,8.5%,89.02,73.53,7.52,0.14
2,B -> C,9.5%,92.43,78.68,65.62,27.07
22,B <-> C,10.5%,89.9,80.51,54.06,10.54
3,B -> D,11.0%,92.04,81.63,30.24,0.95
10,A + B -> C -> D,11.0%,97.16,83.13,40.7,12.97
21,A <-> D,11.0%,89.71,83.3,11.16,0.13
11,2A -> C -> D,12.0%,97.63,83.51,51.3,17.79
23,B <-> D,12.0%,92.46,83.55,11.87,0.53
24,A + B <-> C,12.5%,92.52,81.92,55.23,22.02
0,A -> C,14.5%,93.45,81.55,70.99,36.16
12,A -> C -> D,15.5%,97.2,91.6,54.44,22.44
16,2A -> C ; 2B -> D,16.5%,98.64,87.98,68.77,42.65
19,A -> C -> D ; B -> D,16.5%,96.2,89.95,61.82,29.35
20,A <-> C,18.5%,88.79,87.22,68.79,25.16
13,B -> C -> D,19.0%,99.02,94.14,66.42,30.75
15,A -> C ; B -> D,19.5%,98.41,90.1,73.42,50.15
9,2B -> D,21.0%,100,97.52,61.6,11.93
1,A -> D,21.5%,93.61,85.15,75.71,57.81
27,B -> C + D,36.0%,100,97.16,87.73,72.44
26,A -> C + D,39.5%,100,98.11,89.95,73.75
8,2B -> C,44.5%,100,95.39,91.55,75.36
6,2A -> C,> 50.0%,100,88.53,95.79,91.94
7,2A -> D,> 50.0%,99.01,96.17,93.11,83.6
