Noise (%),Ensemble Accuracy (%),Correct,Total
0,93.6347,66475,70994
0.5,93.4769,66363,70994
1,93.0966,66093,70994
1.5,92.5078,65675,70994
2,91.8979,65242,70994
2.5,91.5514,64996,70994
3,91.0457,64637,70994
3.5,90.3893,64171,70994
4,89.9611,63867,70994
4.5,89.254,63365,70994
5,88.8117,63051,70994
5.5,88.0779,62530,70994
6,87.4792,62105,70994
6.5,86.8904,61687,70994
7,86.196,61194,70994
7.5,85.641,60800,70994
8,85.0635,60390,70994
8.5,84.4804,59976,70994
9,83.6014,59352,70994
9.5,83.0662,58972,70994
10,82.245,58389,70994
10.5,81.6506,57967,70994
11,80.9561,57474,70994
11.5,80.1392,56894,70994
12,79.3828,56357,70994
12.5,78.4334,55683,70994
13,77.6883,55154,70994
13.5,76.9952,54662,70994
14,75.7501,53778,70994
14.5,75.0035,53248,70994
15,73.9344,52489,70994
15.5,72.9808,51812,70994
16,72.0723,51167,70994
16.5,70.8609,50307,70994
17,69.951,49661,70994
17.5,68.9044,48918,70994
18,67.6212,48007,70994
18.5,66.6549,47321,70994
19,65.7689,46692,70994
19.5,64.7083,45939,70994
20,63.635,45177,70994
20.5,62.625,44460,70994
21,61.7306,43825,70994
21.5,60.7333,43117,70994
22,59.798,42453,70994
22.5,58.6895,41666,70994
23,57.8218,41050,70994
23.5,56.9569,40436,70994
24,55.9822,39744,70994
24.5,55.6244,39490,70994
25,54.3511,38586,70994
25.5,53.6454,38085,70994
26,53.0115,37635,70994
26.5,52.0312,36939,70994
27,51.3903,36484,70994
27.5,50.3634,35755,70994
28,49.993,35492,70994
28.5,49.2774,34984,70994
29,48.621,34518,70994
29.5,47.7223,33880,70994
30,47.1927,33504,70994
30.5,46.6237,33100,70994
31,45.687,32435,70994
31.5,45.6503,32409,70994
32,44.7418,31764,70994
32.5,44.2601,31422,70994
33,43.6783,31009,70994
33.5,43.26,30712,70994
34,42.6811,30301,70994
34.5,41.9472,29780,70994
35,41.6782,29589,70994
35.5,41.0345,29132,70994
36,40.5415,28782,70994
36.5,39.9639,28372,70994
37,39.6033,28116,70994
37.5,39.0399,27716,70994
38,38.5075,27338,70994
38.5,38.3737,27243,70994
39,37.8807,26893,70994
39.5,37.1102,26346,70994
40,36.9327,26220,70994
40.5,36.4975,25911,70994
41,36.0185,25571,70994
41.5,35.6777,25329,70994
42,35.2847,25050,70994
42.5,34.8255,24724,70994
43,34.5086,24499,70994
43.5,34.1311,24231,70994
44,33.7888,23988,70994
44.5,33.5056,23787,70994
45,32.9901,23421,70994
45.5,32.7197,23229,70994
46,32.3408,22960,70994
46.5,32.0365,22744,70994
47,31.6238,22451,70994
47.5,31.4111,22300,70994
48,31.2435,22181,70994
48.5,30.9308,21959,70994
49,30.4462,21615,70994
49.5,30.1786,21425,70994
50,29.7758,21139,70994
,,,
--- Summary ---,,,
Accuracy at 0% noise,93.63%,,
Accuracy at 10% noise,82.25%,,
Accuracy at 25% noise,54.35%,,
Accuracy at 50% noise,29.78%,,
Model breaks (acc < 50%),28.0%,,
