Noise (%),[0] A -> C,[1] A -> D,[2] B -> C,[3] B -> D,[4] A + B -> C,[5] A + B -> D,[6] 2A -> C,[7] 2A -> D,[8] 2B -> C,[9] 2B -> D,[10] A + B -> C -> D,[11] 2A -> C -> D,[12] A -> C -> D,[13] B -> C -> D,[14] A + B -> C ; 2A -> D,[15] A -> C ; B -> D,[16] 2A -> C ; 2B -> D,[17] A + B -> C -> D ; 2A -> D,[18] 2A -> C -> D ; A + B -> D,[19] A -> C -> D ; B -> D,[20] A <-> C,[21] A <-> D,[22] B <-> C,[23] B <-> D,[24] A + B <-> C,[25] A + B <-> D,[26] A -> C + D,[27] B -> C + D
0,93.4483,93.6052,92.4282,92.043,84.1277,89.1769,100,99.0086,100,100,97.1586,97.6254,97.2007,99.0163,94.9196,98.412,98.6366,82.2906,88.9125,96.1993,88.7892,89.7143,89.903,92.457,92.5238,89.0205,100,100
0.5,93.0172,93.2189,92.2106,91.828,84.1277,87.9491,99.2032,98.3776,100,99.867,97.2044,97.4014,97.373,99.1446,94.8553,98.3285,98.6366,82.439,88.7636,96.1149,88.6547,89.7143,89.903,92.2805,92.5691,88.5194,100,100
1,92.3276,92.9185,91.2533,91.4839,83.723,87.8581,97.8309,95.4935,99.9096,98.847,97.4335,97.3566,97.6314,99.1018,94.6624,98.412,98.5087,82.3542,88.3379,96.0726,88.565,89.011,89.4621,91.663,91.9801,88.2916,100,100
1.5,90.7759,92.4464,90.4265,90.1505,83.9928,86.1755,96.4143,93.8711,99.5931,97.8271,97.2044,97.3118,97.8898,98.9307,94.0836,98.4538,98.2105,81.9088,86.8057,95.3125,88.9686,89.2308,89.4621,91.266,90.8926,87.1526,100,100
2,90.4741,92.0172,89.5997,89.8065,83.5432,85.8572,94.8207,92.5642,99.5931,96.2749,96.4253,96.1918,97.6314,98.3747,93.4405,97.9524,97.827,80.7211,86.6355,94.5946,88.4753,88.4835,88.2716,90.869,91.1645,86.1959,100,100
2.5,89.7414,92.103,88.7293,88.5161,83.9928,85.7208,95.4405,92.2488,99.5027,95.8315,96.7919,95.4749,97.7175,98.2891,92.7546,97.4509,97.4862,79.8515,85.3373,94.8902,89.2377,88.3516,88.5362,90.869,89.8505,85.3759,99.957,100
3,88.6638,91.2017,88.0331,88.4731,83.4083,83.3561,94.5551,92.6093,99.0958,96.0976,94.7754,95.8333,97.7175,98.2891,91.8328,97.6181,96.6766,78.7063,84.5073,94.4257,88.6547,88.7473,89.0212,90.3838,88.6724,86.0137,99.8711,100
3.5,87.8448,90.3863,87.9025,87.5269,82.0144,82.7649,94.1124,92.3389,99.1863,96.0089,94.7296,95.0269,97.4591,97.8614,90.8253,96.9494,95.6966,76.9035,83.4646,93.4966,89.1031,88.967,88.0511,90.0309,88.4459,84.0091,99.8282,99.9569
4,86.3793,89.4421,86.4665,86.8817,81.5198,82.9468,92.7844,92.4741,98.7342,95.255,94.6838,94.5341,97.2868,97.4337,89.925,96.6151,95.7392,75.7158,82.8261,93.7078,88.8789,88.7473,88.0511,90.6484,87.9474,85.1481,99.7852,99.9569
4.5,86.1638,89.0987,85.5091,86.4516,79.0917,81.5371,91.8105,93.1501,98.4177,96.0532,94.363,93.9068,96.9423,97.0915,88.5745,96.1972,95.9523,73.5737,81.1662,92.8632,88.6996,88.6154,86.7725,89.6339,87.449,85.1936,99.7423,99.8708
5,84.9138,87.6395,85.3351,85.7634,79.4964,79.9909,90.6153,93.6909,98.1917,95.7871,93.9963,93.3244,96.5978,97.3482,87.8242,96.1555,94.5888,72.7678,80.7193,92.6098,88.7892,89.5385,86.3316,89.8544,86.7241,84.1913,99.6134,99.8277
5.5,85,88.412,84.1166,84.9892,77.4281,78.7631,89.8628,92.9698,98.4177,95.2993,92.8506,92.7419,96.5116,96.9632,85.9807,95.4868,93.8645,71.1771,78.655,92.5676,88.565,89.1429,86.2875,89.3692,86.2256,84.4191,99.3557,99.6555
6,83.7069,87.2532,84.1166,84.5591,76.0791,78.7176,90.9252,93.8711,97.6944,97.0732,92.8048,92.3835,96.2963,97.0488,83.8371,94.6929,93.0124,69.6076,77.2505,92.1453,88.5202,88.6154,85.6702,88.2664,85.6366,83.508,99.2268,99.3971
6.5,83.4052,87.9399,82.8111,83.6989,75.8543,76.2619,89.8628,94.7274,97.1971,96.8514,91.0632,90.8602,95.9087,97.2198,82.8296,94.0242,92.8845,67.8685,76.612,91.8919,88.2063,88.6593,85.097,87.8253,85.4554,83.508,99.1838,99.3109
7,83.0603,86.7382,82.0714,82.6667,73.9209,75.8527,89.2873,94.9076,97.5588,97.1175,90.4675,89.9642,95.8656,96.5355,81.3505,93.272,91.9046,65.5779,75.5054,91.5118,87.3543,88.4396,84.8765,88.3105,85.3647,82.6424,99.2268,99.2248
7.5,82.1983,86.2661,82.5065,83.6129,73.3363,75.9436,89.9513,95.0428,96.8354,97.0732,89.2759,89.0681,95.9948,96.45,79.657,92.9795,91.6915,63.5843,74.6116,90.7939,86.9058,88.044,83.642,87.9135,84.957,82.0046,99.0979,98.6219
8,81.7241,86.2661,81.2881,82.2796,72.7518,76.3529,89.3316,95.3583,97.1067,97.2506,87.7635,87.9032,94.789,96.065,79.0782,92.9795,90.2855,62.6723,73.0794,90.9206,86.5022,87.2527,82.7601,87.8694,84.8663,81.2756,98.8832,98.6219
8.5,81.8966,86.4807,81.0705,82.5806,72.6169,75.6708,89.6857,95.1329,96.6094,97.2062,86.9386,88.2616,94.832,96.2789,77.2776,92.0184,90.3281,60.6363,72.0366,90.6672,86.7713,86.5055,82.4515,86.5902,83.3711,79.5444,98.7543,97.9328
9,81.8966,86.9528,80.1131,81.5054,70.8183,75.0796,89.1102,94.9527,96.6998,97.561,85.0596,86.8728,93.4109,95.8084,75.6484,90.8901,89.3907,59.3637,70.4618,89.9916,86.5919,84.5714,82.1429,86.0168,83.1899,77.4943,98.4966,97.3299
9.5,81.5948,86.6524,79.678,81.3333,71.1331,75.3979,90.3054,95.0428,96.519,97.694,83.0431,85.9319,92.8941,95.6801,74.2122,91.1826,88.5386,57.8791,70.0149,89.6959,86.5919,83.6923,80.2028,84.9581,81.4681,76.7654,98.5825,97.5022
10,81.5517,85.1502,78.6771,81.6344,70.054,74.5794,88.5347,96.1694,95.3888,97.5166,83.1347,83.5125,91.6021,94.1403,72.9904,90.0961,87.9847,55.9067,69.0785,89.9493,87.2197,83.2967,80.5115,83.5465,81.9212,73.5308,98.11,97.1576
10.5,81.5517,85.4506,78.0679,80.4731,68.75,74.8067,90.0398,95.8089,95.8409,97.0732,80.8433,84.3638,90.7407,94.1831,72.1115,89.5947,87.0473,54.8887,67.8017,88.5135,86.278,81.4066,79.806,83.9435,81.604,71.4806,98.0241,97.2438
11,81.0345,85.1502,78.416,79.7849,69.4694,73.306,90.3497,95.5836,95.5696,98.0488,79.3767,81.8548,89.7502,94.2686,71.4255,89.1768,86.9195,53.0859,66.4609,88.8936,85.0673,79.2088,80.1587,82.6202,81.4681,68.9749,97.8093,96.727
11.5,80.3448,85.3648,77.3281,79.871,68.9748,73.1241,90.0841,96.6652,95.7505,97.1175,78.2768,81.6308,89.0612,93.4559,70.0536,88.7589,86.4934,51.5589,64.0349,87.9645,84.6188,77.2308,78.9242,80.5029,82.1024,66.4237,97.6804,96.727
12,80.9483,85.4936,76.5448,79.2258,68.8399,73.5789,91.1908,96.4849,96.519,96.6741,76.3978,79.5251,87.8553,92.7716,68.6174,87.756,84.7039,50.7317,63.5242,87.7534,85.8744,75.0769,78.1305,78.7384,80.4259,62.6879,96.9931,96.3394
12.5,80.0862,85.4936,74.6301,78.3226,67.9856,71.8054,90.6596,96.3497,96.6546,96.8514,75.527,78.4498,86.8217,92.4722,67.1597,87.547,85.0021,48.7805,61.8642,86.3598,84.843,72,78.9683,78.2973,78.6135,61.0023,96.9502,95.5642
13,80.9483,85.6652,74.6736,78.3656,67.9406,71.6235,92.0761,96.3497,96.1121,96.7184,73.8313,78.0914,85.1852,91.9589,65.7449,86.8366,83.9369,47.8685,60.3745,86.8243,85.7399,70.0659,76.5873,76.4005,78.5682,55.2164,96.8213,95.1335
13.5,80.2586,85.1931,74.5866,77.3763,68.4802,70.5775,91.4564,96.1244,95.7052,96.6297,72.5023,77.1505,85.4005,90.9324,65.552,86.2516,83.5961,46.7869,59.4382,85.3463,85.6054,68.3956,77.0282,73.6215,78.4776,52.8929,96.4777,94.5306
14,80.5172,85.3648,73.9339,76.5161,67.3112,69.3497,91.6777,95.9892,96.2025,95.7428,70.5775,74.9104,81.8691,89.4782,64.1801,85.583,83.0848,44.8993,57.2888,84.5017,84.3498,63.6923,77.7337,69.9162,76.4839,50.7062,96.3058,94.9612
14.5,79.3103,84.721,73.8468,75.5699,67.6259,68.2128,92.873,96.3497,95.9313,95.1663,68.8359,73.8351,81.7829,88.2378,63.1297,84.9143,82.2752,44.5811,56.246,84.2061,84.4395,62.9451,75.485,69.2104,76.2121,46.4237,96.0481,93.8846
15,79.2672,83.8197,73.1506,74.4086,67.0414,66.5302,92.6516,96.7553,96.8354,94.5455,67.5069,74.1935,80.8355,86.7836,61.7792,84.9561,81.5083,41.9724,54.7989,83.3193,82.3767,57.8901,75.4409,64.5787,76.8011,44.7836,95.9622,94.186
15.5,78.9224,83.7339,72.2802,73.2473,66.5468,66.8031,93.3599,96.3948,96.4738,94.5898,66.7278,71.6398,79.4574,86.0565,61.2862,84.0368,81.8492,41.1877,52.6495,82.6014,83.2287,54.5495,75.9259,61.5351,73.4028,40.5011,95.5326,93.8846
16,78.4914,83.9914,72.2802,71.7419,66.8165,63.8927,92.5631,96.3046,96.0217,93.9246,65.582,71.0125,78.596,86.1848,59.2926,82.9921,80.6988,40.7635,52.2026,81.6301,82.5112,51.4725,73.3245,57.0798,75.3965,38.5877,95.5326,94.143
